"Code","ShortDescription","LongDescription","isBasicLevel","AggregateLevel","parentCode"
"45","Cork and articles of cork","Cork and articles of cork",0,2,"TOTAL"
"4501","Natural cork, raw or simply prepared; waste cork","Natural cork, raw or simply prepared; waste cork; crushed, granulated or ground cork.",0,4,"45"
"450110","Natural cork, raw/simply prepd.","Natural cork, raw/simply prepd.",1,6,"4501"
"450190","Waste cork; crushed/granulated/ground cork","Waste cork; crushed/granulated/ground cork",1,6,"4501"
"4502","Natural cork, debacked or roughly squared","Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers).",0,4,"45"
"450200","Natural cork, debacked/roughly squared/in rect. (incl. square) blocks/plate ...","Natural cork, debacked/roughly squared/in rect. (incl. square) blocks/plates/sheets/strip (incl. sharp-edged blanks for corks/stoppers)",1,6,"4502"
"4503","Articles of natural cork.","Articles of natural cork.",0,4,"45"
"450310","Corks & stoppers, of nat. cork","Corks & stoppers, of nat. cork",1,6,"4503"
"450390","Articles of nat. cork other than corks & stoppers","Articles of nat. cork other than corks & stoppers",1,6,"4503"
"4504","Agglomerated cork (with or without a binding substance)","Agglomerated cork (with or without a binding substance) and articles of agglomerated cork.",0,4,"45"
"450410","Blocks, plates, sheets & strip, of agglom. cork; tiles of any shape, of agg ...","Blocks, plates, sheets & strip, of agglom. cork; tiles of any shape, of agglom. cork; solid cyls., incl. discs, of agglom. cork",1,6,"4504"
"450490","Agglomerated cork (with/without a binding substance) & oth. arts. of agglom ...","Agglomerated cork (with/without a binding substance) & oth. arts. of agglom. cork (excl. of 4504.10)",1,6,"4504"
"46","Manufactures of straw, of esparto or of other plaiting materials","Manufactures of straw, of esparto or of other plaiting materials; basket ware and wickerwork",0,2,"TOTAL"
"4601","Plaits and similar products of plaiting materials","Plaits and similar products of plaiting materials, whether or not assembled into strips; plaiting materials, plaits and similar products of plaiting materials, bound together in parallel strands or woven, in sheet form, whether or not being finished articles (for example, mats, matting, screens).",0,4,"46"
"460120","Mats, matting & screens of veg. mats.","Mats, matting & screens of veg. mats.",1,6,"4601"
"460191","Plaits & sim. prods. of veg. mats., whether or not assembled into strips; p ...","Plaits & sim. prods. of veg. mats., whether or not assembled into strips; plaiting mats., plaits & sim. prods. of veg. mats. [see complete text #55]",1,6,"4601"
"460199","Plaits & sim. prods. of plaiting mats. other than veg. mat., whether or not ...","Plaits & sim. prods. of plaiting mats. other than veg. mat., whether or not assembled into strips; plaiting mats. other than veg. mats. [see complete text #56]",1,6,"4601"
"4602","Basketwork, wickerwork and other articles","Basketwork, wickerwork and other articles, made directly to shape from plaiting materials or made up from goods of heading 46.01; articles of loofah.",0,4,"46"
"460210","Basketwork, wickerwork & oth. arts., made directly to shape from veg. mats. ...","Basketwork, wickerwork & oth. arts., made directly to shape from veg. mats./made up from gds. of 46.01; arts. of loofah",1,6,"4602"
"460290","Basketwork, wickerwork & oth. arts., made directly to shape from plaiting m ...","Basketwork, wickerwork & oth. arts., made directly to shape from plaiting mats. other than veg. mats./made up from gds. of 46.01 other than veg. mat.",1,6,"4602"
"47","Pulp of wood or of other fibrous cellulose material","Pulp of wood or of other fibrous cellulose material; waste and scrap of paper or paperboard",0,2,"TOTAL"
